tax_id	scientific_name	sample_alias	sample_title	sample_description	isolation_source	geographic location (country and/or sea)	host scientific name
256318	metagenome	NHP-9-4	NHP-9-4	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-11-1	NHP-11-1	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-11-2	NHP-11-2	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-11-4	NHP-11-4	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-11-5	NHP-11-5	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-11-6	NHP-11-6	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-12-1	NHP-12-1	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-12-2	NHP-12-2	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-12-3	NHP-12-3	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-12-4	NHP-12-4	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-12-5	NHP-12-5	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-12-6	NHP-12-6	ITS1 amplicon from Young primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-2-1	NHP-2-1	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-2-3	NHP-2-3	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-2-4	NHP-2-4	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-4-1	NHP-4-1	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-4-2	NHP-4-2	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-5-4	NHP-5-4	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-5-5	NHP-5-5	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-8-4	NHP-8-4	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-8-5	NHP-8-5	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-13-1	NHP-13-1	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-13-2	NHP-13-2	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-13-4	NHP-13-4	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-14-1	NHP-14-1	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-14-2	NHP-14-2	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-14-3	NHP-14-3	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-14-4	NHP-14-4	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-14-5	NHP-14-5	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-14-6	NHP-14-6	ITS1 amplicon from middle-aged primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-1-4	NHP-1-4	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-1-5	NHP-1-5	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-1-6	NHP-1-6	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-3-2	NHP-3-2	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-3-3	NHP-3-3	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-3-6	NHP-3-6	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-6-4	NHP-6-4	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-6-5	NHP-6-5	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-6-6	NHP-6-6	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-7-2	NHP-7-2	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-7-3	NHP-7-3	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-7-4	NHP-7-4	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-7-5	NHP-7-5	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-7-6	NHP-7-6	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-10-4	NHP-10-4	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-10-5	NHP-10-5	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-10-6	NHP-10-6	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-15-1	NHP-15-1	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-15-3	NHP-15-3	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-15-4	NHP-15-4	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-15-5	NHP-15-5	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-15-6	NHP-15-6	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-16-1	NHP-16-1	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-16-2	NHP-16-2	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-16-3	NHP-16-3	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
256318	metagenome	NHP-16-5	NHP-16-5	ITS1 amplicon from old primate intestinal microbiome	environmental sample	United Kingdom	Macaca fascicularis
